FORMA,MODELO,VALOR (Em Reais),BAIRRO,REGIÃO,IMOBILIARIA
Venda,apartamento 2 dormitórios,"350.000,00",Jardim Aquárius,Oeste,Terra
Venda,apartamento 2 dormitórios,"460.000,00",Royal Park,Oeste,Brasil
Venda,apartamento 2 dormitórios,"340.000,00",Jardim Aquárius,Oeste,Executiva
Venda,apartamento 2 dormitórios,"360.000,00",Jardim Aquárius,Oeste,Terra
Venda,apartamento 2 dormitórios,"1.200.000,00",Jardim Aquárius,Oeste,Brasil
Venda,apartamento 2 dormitórios,"340.000,00",Jardim Aquárius,Oeste,Geração
Venda,apartamento 2 dormitórios,"370.000,00",Vila Adyana,Central,Vasconcelos
Venda,apartamento 3 dormitórios,"130.000,00",Monte Castelo,Leste,Celeste
Venda,apartamento 3 dormitórios,"150.000,00",Jardim Americano,Leste,Celeste
Venda,apartamento 3 dormitórios,"180.000,00",Parque Nova Esperança,Leste,Alexandre
Venda,apartamento 3 dormitórios,"185.000,00",Floradas de São José,Sul,Piramide
Venda,apartamento 3 dormitórios,"200.000,00",Conjunto Residencial 31 de Março,Sul,Alexandre
Venda,apartamento 3 dormitórios,"200.000,00",Jardim América,Sul,Independence
Venda,apartamento 3 dormitórios,"170.000,00",Floradas de São José,Sul,Terra
Venda,apartamento 3 dormitórios,"180.000,00",Jardim Morumbi,Sul,Ideal
Venda,apartamento 3 dormitórios,"185.312,00",Vila Industrial,Leste,Elite
Venda,apartamento 3 dormitórios,"200.000,00",Jardim América,Sul,Brasil
Venda,apartamento 3 dormitórios,"200.000,00",Jardim Satélite,Sul,Kogake
Venda,apartamento 3 dormitórios,"178.000,00",Floradas de São José,Sul,Terra
Venda,apartamento 3 dormitórios,"180.000,00",Jardim Morumbi,Sul,Piramide
Venda,apartamento 3 dormitórios,"190.000,00",Centro,Central,Celeste
Venda,apartamento 3 dormitórios,"200.000,00",Vila Ema,Central,Brasil
Venda,apartamento 3 dormitórios,"200.000,00",Vila Ema,Central,Piramide
Venda,apartamento 3 dormitórios,"180.000,00",Monte Castelo,Leste,Alexandre
Venda,apartamento 3 dormitórios,"185.000,00",Vila do Tesouro,Leste,Alexandre
Venda,apartamento 3 dormitórios,"190.000,00",Jardim Satélite,Sul,Piramide
Venda,apartamento 3 dormitórios,"200.000,00",Jardim Ismênia,Leste,Ideal
Venda,apartamento 3 dormitórios,"210.000,00",Jardim Osvaldo Cruz,Central,Ferreirinha
Venda,apartamento 3 dormitórios,"210.000,00",Centro,Central,Ideal
